etnia;genero;nhijos;edad;promedio;he;sv;modalidad;rendimiento
Mestizos;FEMENINO;0;22;7.89;25.4;0;0;BAJO
Mestizos;FEMENINO;0;55;9.555;3.1;0;0;ALTO
Blancos;MASCULINO;3;48;9.715;9.2;0;0;ALTO
Mestizos;MASCULINO;2;32;7.805;4.6;0;0;BAJO
Mestizos;FEMENINO;3;48;9.065;22;0;0;ALTO
Mestizos;MASCULINO;0;41;8.405;19.4;0;0;BAJO
Mestizos;MASCULINO;1;41;9.2;20.4;0;0;ALTO
Mestizos;FEMENINO;3;42;9.035;45.8;0;0;ALTO
Mestizos;MASCULINO;0;35;9.58;1.2;0;0;ALTO
Mestizos;MASCULINO;2;34;9.47;34.9;0;0;ALTO
Mestizos;FEMENINO;2;42;8.905;35.7;0;0;ALTO
Mestizos;FEMENINO;2;40;8.895;11.1;0;0;ALTO
Mestizos;FEMENINO;2;37;8.99;19;0;0;ALTO
Mestizos;FEMENINO;2;27;9.4;33.8;0;0;ALTO
Mestizos;MASCULINO;0;38;8.73;31.1;0;0;ALTO
Mestizos;MASCULINO;0;30;9.415;46.7;0;0;ALTO
Mestizos;MASCULINO;0;29;8.55;3.5;0;0;ALTO
Mestizos;MASCULINO;0;29;8.86;25;0;0;ALTO
Mestizos;MASCULINO;1;31;8.61;6.9;0;0;ALTO
Mestizos;FEMENINO;3;32;9.005;35.5;0;0;ALTO
Blancos;FEMENINO;0;23;8.455;43.5;0;0;BAJO
Mestizos;FEMENINO;1;35;9.49;42.1;0;0;ALTO
Mestizos;FEMENINO;3;27;9.535;40.1;0;0;ALTO
Mestizos;FEMENINO;0;22;8.515;4.8;0;0;ALTO
Blancos;MASCULINO;0;31;7.795;13.5;0;0;BAJO
Mestizos;MASCULINO;0;22;8.82;2.3;0;0;ALTO
Mestizos;MASCULINO;0;24;8.97;26.8;0;0;ALTO
Mestizos;FEMENINO;0;21;8.765;36.7;0;0;ALTO
Mestizos;MASCULINO;0;20;8.18;45.6;0;0;BAJO
Mestizos;FEMENINO;0;21;8.935;38.1;0;0;ALTO
