genero;nhijos;edad;promedio;etnia;modalidad;rendimiento
FEMENINO;0;22;7.89;Mestizos;0;ALTO
FEMENINO;0;55;9.555;Mestizos;0;BAJO
MASCULINO;3;48;9.715;Blancos;0;BAJO
MASCULINO;2;32;7.805;Mestizos;0;ALTO
FEMENINO;3;48;9.065;Mestizos;0;ALTO
MASCULINO;0;41;8.405;Mestizos;0;ALTO
MASCULINO;1;41;9.2;Mestizos;0;BAJO
FEMENINO;3;42;9.035;Mestizos;0;BAJO
MASCULINO;0;35;9.58;Mestizos;0;BAJO
MASCULINO;2;34;9.47;Mestizos;0;BAJO
FEMENINO;2;42;8.905;Mestizos;0;ALTO
FEMENINO;2;40;8.895;Mestizos;0;ALTO
FEMENINO;2;37;8.99;Mestizos;0;ALTO
FEMENINO;2;27;9.4;Mestizos;0;ALTO
MASCULINO;0;38;8.73;Mestizos;0;BAJO
MASCULINO;0;30;9.415;Mestizos;0;BAJO
MASCULINO;0;29;8.55;Mestizos;0;ALTO
MASCULINO;0;29;8.86;Mestizos;0;ALTO
MASCULINO;1;31;8.61;Mestizos;0;ALTO
FEMENINO;3;32;9.005;Mestizos;0;ALTO
FEMENINO;0;23;8.455;Blancos;0;ALTO
FEMENINO;1;35;9.49;Mestizos;0;ALTO
FEMENINO;3;27;9.535;Mestizos;0;BAJO
FEMENINO;0;22;8.515;Mestizos;0;BAJO
MASCULINO;0;31;7.795;Blancos;0;ALTO
MASCULINO;0;22;8.82;Mestizos;0;BAJO
MASCULINO;0;24;8.97;Mestizos;0;BAJO
FEMENINO;0;21;8.765;Mestizos;0;ALTO
MASCULINO;0;20;8.18;Mestizos;0;ALTO
FEMENINO;0;21;8.935;Mestizos;0;ALTO
FEMENINO;0;21;8.89;AfroEcuatoriano;0;ALTO
MASCULINO;0;21;7.995;Mestizos;0;ALTO
MASCULINO;0;23;8.83;Mestizos;0;BAJO
MASCULINO;0;21;8.46;Mestizos;0;ALTO
MASCULINO;0;22;8.665;Mestizos;0;ALTO
MASCULINO;0;21;9.155;Mestizos;0;ALTO
FEMENINO;0;22;8.285;Mestizos;0;ALTO
MASCULINO;0;24;8.375;Mestizos;0;ALTO
MASCULINO;0;22;8.18;Blancos;0;ALTO
FEMENINO;0;28;8.835;Mestizos;0;ALTO
MASCULINO;0;25;8.53;Mestizos;0;BAJO
MASCULINO;0;28;9.27;Mestizos;0;ALTO
MASCULINO;0;22;8.325;Mestizos;0;ALTO
MASCULINO;0;20;8.57;Mestizos;0;ALTO
MASCULINO;0;22;8.115;Mestizos;0;BAJO
MASCULINO;0;22;8.755;Mestizos;0;ALTO
FEMENINO;0;28;9.355;Mestizos;0;ALTO
MASCULINO;0;21;9.055;Mestizos;0;BAJO
MASCULINO;0;23;8.465;Mestizos;0;BAJO
MASCULINO;0;21;9.035;Mestizos;0;BAJO
MASCULINO;0;20;8.44;Mestizos;0;BAJO
MASCULINO;0;21;7.965;Mestizos;0;ALTO
MASCULINO;0;22;8.305;Mestizos;0;ALTO
FEMENINO;0;23;8.385;Mestizos;0;ALTO
MASCULINO;0;21;8.61;Mestizos;0;ALTO
MASCULINO;0;21;8;Mestizos;0;ALTO
FEMENINO;0;22;8.8;Mestizos;0;ALTO
MASCULINO;0;21;8.175;Mestizos;0;ALTO
MASCULINO;0;22;8.29;Mestizos;0;ALTO
MASCULINO;0;23;7.905;Mestizos;0;ALTO
MASCULINO;1;29;8.75;Mestizos;0;BAJO
FEMENINO;0;22;8.735;Mestizos;0;ALTO
FEMENINO;0;22;8.13;Mestizos;0;ALTO
FEMENINO;1;30;8.93;Indígenas;0;ALTO
MASCULINO;0;21;8.865;Mestizos;0;ALTO
FEMENINO;0;25;8.18;Mestizos;0;ALTO
FEMENINO;0;22;8.235;Mestizos;0;ALTO
MASCULINO;0;22;8.16;Mestizos;0;ALTO
FEMENINO;0;27;9.29;Mestizos;0;ALTO
MASCULINO;0;21;9.325;Mestizos;0;ALTO
MASCULINO;0;22;8.56;Mestizos;0;ALTO
FEMENINO;0;21;8.555;Mulato;0;ALTO
MASCULINO;0;24;8.98;Blancos;0;ALTO
MASCULINO;0;25;7.59;Mestizos;0;ALTO
MASCULINO;3;26;8.645;Mestizos;0;ALTO
FEMENINO;1;22;9.39;Mestizos;0;BAJO
FEMENINO;0;21;8.735;Mestizos;0;ALTO
MASCULINO;0;21;8.495;Mestizos;0;ALTO
MASCULINO;0;20;8.2;Mestizos;0;ALTO
MASCULINO;0;21;8.73;Mestizos;0;ALTO
FEMENINO;1;22;8.405;Mestizos;0;ALTO
FEMENINO;1;22;8.995;Mestizos;0;ALTO
FEMENINO;0;21;8.82;Mestizos;0;ALTO
FEMENINO;0;24;8.22;Montubio;0;ALTO
MASCULINO;0;22;8.32;Mestizos;0;ALTO
FEMENINO;1;22;9.135;Mestizos;0;BAJO
FEMENINO;0;21;9.46;Mestizos;0;ALTO
FEMENINO;0;22;8.64;Mestizos;0;ALTO
FEMENINO;0;26;8.61;Mestizos;0;ALTO
FEMENINO;0;22;8.32;Mestizos;0;ALTO
FEMENINO;0;21;8.625;Mulato;0;ALTO
FEMENINO;0;22;8.565;Mestizos;0;ALTO
FEMENINO;0;21;8.435;Mestizos;0;ALTO
MASCULINO;0;23;8.365;Mestizos;0;ALTO
MASCULINO;1;21;8.855;Mestizos;0;BAJO
MASCULINO;0;24;8.36;Mestizos;0;ALTO
FEMENINO;0;22;8.505;Mestizos;0;ALTO
FEMENINO;0;23;8.78;Mestizos;0;ALTO
FEMENINO;1;24;9.015;Mestizos;0;ALTO
FEMENINO;0;25;8.605;Mestizos;0;ALTO
FEMENINO;0;21;8.38;Mestizos;0;ALTO
FEMENINO;0;24;8.13;Mestizos;0;ALTO
MASCULINO;0;22;8.165;Mestizos;0;ALTO
FEMENINO;0;20;8.8;Mestizos;0;ALTO
FEMENINO;1;22;8.68;Mestizos;0;ALTO
MASCULINO;0;22;8.36;Mestizos;0;ALTO
FEMENINO;0;22;8.825;Mestizos;0;ALTO
MASCULINO;0;24;8.17;Mestizos;0;ALTO
MASCULINO;0;22;8.965;Mestizos;0;ALTO
FEMENINO;0;20;8.685;Mestizos;0;ALTO
FEMENINO;0;29;8.835;Mestizos;0;ALTO
MASCULINO;0;24;8.205;Mestizos;0;ALTO
MASCULINO;0;21;8.61;Mestizos;0;BAJO
FEMENINO;0;21;8.92;Mestizos;0;BAJO
MASCULINO;0;21;8.965;Mestizos;0;BAJO
MASCULINO;0;22;8.97;Mestizos;0;ALTO
MASCULINO;0;21;8.41;Mestizos;0;ALTO
FEMENINO;0;23;8.225;Mestizos;0;ALTO
MASCULINO;3;50;9.49;Mestizos;0;ALTO
MASCULINO;0;39;9.465;Mestizos;0;ALTO
MASCULINO;3;40;9.515;Mestizos;0;ALTO
MASCULINO;0;21;8.44;Mestizos;0;BAJO
FEMENINO;3;37;9.145;Mestizos;0;ALTO
MASCULINO;0;22;8.85;Mestizos;0;ALTO
MASCULINO;1;32;9.25;Mestizos;0;ALTO
MASCULINO;2;34;8.945;Mestizos;0;BAJO
MASCULINO;0;25;9.575;Mestizos;0;BAJO
FEMENINO;0;21;8.895;Mestizos;0;ALTO
MASCULINO;0;21;8.445;Mestizos;0;BAJO
MASCULINO;0;21;9.06;Montubio;0;ALTO
FEMENINO;0;22;8.75;Mestizos;0;BAJO
FEMENINO;0;23;9.22;Montubio;0;ALTO
MASCULINO;0;31;9.685;Mestizos;0;BAJO
MASCULINO;0;20;8.23;Mestizos;0;BAJO
FEMENINO;0;22;9.38;Mestizos;0;ALTO
FEMENINO;0;21;9.19;Mestizos;0;ALTO
FEMENINO;1;30;9;Mestizos;0;ALTO
MASCULINO;0;21;8.82;Mestizos;0;BAJO
FEMENINO;0;21;8.795;Mestizos;0;ALTO
FEMENINO;0;21;8.915;Mestizos;0;ALTO
FEMENINO;0;31;8.86;Mestizos;0;BAJO
MASCULINO;0;30;9.035;Mestizos;0;ALTO
FEMENINO;0;25;9.06;Mestizos;0;BAJO
MASCULINO;0;23;9.745;Mestizos;0;BAJO
MASCULINO;0;22;9.545;Mestizos;0;BAJO
MASCULINO;0;22;8.52;Mestizos;0;ALTO
MASCULINO;0;24;8.88;Mestizos;0;ALTO
MASCULINO;99;25;8.895;Mestizos;0;ALTO
FEMENINO;0;24;9.84;Mestizos;0;BAJO
FEMENINO;1;23;8.91;Mestizos;0;ALTO
MASCULINO;1;27;8.915;Mestizos;0;BAJO
MASCULINO;0;24;8.83;Mestizos;0;ALTO
MASCULINO;0;26;8.54;Mestizos;0;ALTO
FEMENINO;0;21;8.77;Mestizos;0;BAJO
FEMENINO;0;22;8.585;Mestizos;0;ALTO
FEMENINO;0;21;8.87;Mestizos;0;ALTO
FEMENINO;0;21;9.38;Mestizos;0;BAJO
MASCULINO;0;20;9.105;Mestizos;0;BAJO
MASCULINO;0;22;8.235;Mestizos;0;BAJO
FEMENINO;0;24;9.525;Mestizos;0;BAJO
MASCULINO;0;24;8.725;Mestizos;0;BAJO
MASCULINO;0;21;8.34;Mestizos;0;ALTO
MASCULINO;0;26;9.035;Mestizos;0;BAJO
MASCULINO;0;23;8.18;Mestizos;0;ALTO
MASCULINO;0;21;9.235;Mestizos;0;BAJO
FEMENINO;0;25;8.405;Mestizos;0;ALTO
MASCULINO;0;20;8.99;Negro;0;BAJO
MASCULINO;0;27;9.005;Mestizos;0;BAJO
FEMENINO;1;25;8.325;Mestizos;0;ALTO
FEMENINO;0;24;8.95;Mestizos;0;BAJO
FEMENINO;0;25;8.605;Mestizos;0;ALTO
MASCULINO;0;22;8.725;Mestizos;0;BAJO
FEMENINO;0;22;8.86;Mestizos;0;ALTO
FEMENINO;0;21;9.15;Mestizos;0;ALTO
FEMENINO;0;22;8.655;Mestizos;0;ALTO
MASCULINO;1;25;9.62;Mestizos;0;BAJO
MASCULINO;0;23;8.59;Montubio;0;BAJO
FEMENINO;0;21;8.495;Mestizos;0;ALTO
MASCULINO;0;25;8.46;Mestizos;0;ALTO
FEMENINO;0;22;9.81;Mestizos;0;BAJO
MASCULINO;0;22;9.13;Mestizos;0;ALTO
MASCULINO;0;22;8.95;Mestizos;0;ALTO
MASCULINO;0;22;9.11;AfroEcuatoriano;0;ALTO
MASCULINO;0;22;8.905;Mestizos;0;ALTO
MASCULINO;0;23;8.97;Mestizos;0;BAJO
FEMENINO;1;22;9.17;Mestizos;0;ALTO
FEMENINO;0;22;8.87;Mestizos;0;ALTO
MASCULINO;0;22;8.29;Mestizos;0;BAJO
FEMENINO;0;22;8.815;Mestizos;0;ALTO
MASCULINO;1;23;7.945;Mestizos;0;ALTO
FEMENINO;0;22;9.155;Mestizos;0;ALTO
FEMENINO;0;21;8.815;Mestizos;0;ALTO
FEMENINO;0;22;8.37;Mestizos;0;ALTO
MASCULINO;0;22;9.275;Mestizos;0;ALTO
MASCULINO;0;22;9.075;AfroEcuatoriano;0;ALTO
MASCULINO;0;21;9.04;Mestizos;0;ALTO
MASCULINO;0;21;8.855;Mestizos;0;ALTO
FEMENINO;0;24;8.93;Mestizos;0;ALTO
FEMENINO;0;22;8.855;Mestizos;0;ALTO
MASCULINO;1;31;8.445;Mestizos;0;ALTO
FEMENINO;0;22;8.685;Mestizos;0;ALTO
MASCULINO;0;21;8.24;Mestizos;0;ALTO
MASCULINO;0;24;8.845;Mestizos;0;ALTO
FEMENINO;0;29;9.485;Mestizos;0;ALTO
MASCULINO;0;25;8.9;Mestizos;0;BAJO
MASCULINO;0;22;9.345;Mestizos;0;ALTO
MASCULINO;1;30;8.44;Mestizos;0;BAJO
MASCULINO;0;25;8.23;Blancos;0;ALTO
MASCULINO;0;24;7.875;AfroEcuatoriano;0;ALTO
MASCULINO;0;23;9.26;Mestizos;0;BAJO
MASCULINO;0;25;7.985;Mestizos;0;ALTO
MASCULINO;0;32;8.7;Mestizos;0;ALTO
FEMENINO;1;33;8.845;Mestizos;0;ALTO
MASCULINO;0;22;8.47;Mestizos;0;ALTO
MASCULINO;0;23;9.375;Mestizos;0;ALTO
